,names,brand,price,links,description
0,Zapatilla Mujer Adidas COURT SILK Blanco,ADIDAS,59.95,https://www.murallasport.com/producto/6879-zapatilla-mujer-adidas-court-silk-blanco,"Lleva la herencia icónica de adidas a cualquier atuendo con estos tenis inspirados en el tenis. Combínalos con medias de yoga para agregar estilo natural a tu entrenamiento, o con tu mezclilla favorita para un look deportivo diario que puedes llevar a cualquier parte. Fabricada con una serie de materiales reciclados, la parte superior presenta al menos un 50 % de contenido reciclado. Estos zapatos representan solo una de nuestras soluciones para ayudar a acabar con los desechos plásticos. Ajuste normal. Cierre de cordones. Empeine sintético. Forro textil. Suela de goma."
1,Zapatillas Adidas Court Funk  Blanco,ADIDAS,80.0,https://www.murallasport.com/producto/6947-zapatillas-adidas-court-funk-blanco,Plantilla: textil Interior: tejido Parte superior: Material/-Sintético Suela: goma
2,Zapatilla para Mujer Nike Court Vision Low BCO ...,NIKE,64.0,https://www.murallasport.com/producto/7106-zapatilla-para-mujer-nike-court-vision-low-bco-gris,Parte superior de piel para un look y una sensación premium. Zona del tobillo acolchada para una comodidad amortiguada. Lengüeta de malla que mejora la transpirabilidad. Diseño cupsole para una amortiguación ligera. Suela exterior de goma para disfrutar de una tracción resistente.
3,Nike Court Vision Low NN Mujer,NIKE,75.0,https://www.murallasport.com/producto/6820-nike-court-vision-low-nn-mujer,"Inspiración retro de baloncesto Con una combinación de piel, piel sintética y goma, el diseño se inspira en las zapatillas de baloncesto de mediados de los años 80"
4,Zapatilla Mujer Nike Waffle Debut Rosa,NIKE,75.0,https://www.murallasport.com/producto/6211-zapatilla-mujer-nike-waffle-debut-rosa,NIKE WMNS WAFFLE DEBUT DEPORTIVO NILON CASUAL MUJER DH9523 603 PINK OXFORD/WOLF GREY NIKE284  Tómate un descanso toca disfrutar. Estas zapatillas de aire retro y elegante son perfectas para lucir en la calle.  Su icónica suela exterior tipo gofre te aportará tracción durabilidad y estilo clásico. Su mediasuela de espuma con cuña eleva esta silueta dándole el toque moderno.
5,Zapatilla Mujer Nike Court Vision Low Blanco,NIKE,75.0,https://www.murallasport.com/producto/6274-zapatilla-mujer-nike-court-vision-low-blanco,El estilo Fastbreak del baloncesto de los 80 se une a la cultura trepidante del deporte de hoy en día en las nuevas Nike Court Vision Low. Cuentan con una parte superior inspirada en las zapatillas de baloncesto vintage y el diseño de suela exterior cupsole de goma clásico distintivo de uno de los diseños más icónicos del pasado.
6,Zapatilla Mujer  Nike Court Legacy Lift Blanco,NIKE,84.99,https://www.murallasport.com/producto/7031-zapatilla-mujer-nike-court-legacy-lift-blanco,"Eleva tu estilo con las Nike Court Legacy Lift. La mediasuela con plataforma supone una declaración audaz de intenciones, que se suma al diseño clásico fácil de combinar. No te preocupes: hemos mantenido el ajuste que te encanta."
7,Zapatilla  Nike Blazer Low Platform,NIKE,99.99,https://www.murallasport.com/producto/6615-zapatilla-nike-blazer-low-platform,Zapatilla  Nike Blazer Low Platform
8,Nike Blazer Mid 77,NIKE,109.99,https://www.murallasport.com/producto/6631-nike-blazer-mid-77,"Al estilo de los años 70. Aclamadas en los 80. Un clásico de los 90. Listas para el futuro. Las Nike Blazer Mid '77 Vintage ofrecen un diseño atemporal y muy cómodo. La parte superior de piel increíblemente impecable combina perfectamente con un llamativo logotipo retro y unos detalles de ante exquisitos para ofrecer una sensación premium. La espuma expuesta en la lengüeta y el acabado de la mediasuela especial hacen que parezca que han salido de los libros de historia. Adelante, perfecciona tu look."
9,New Balance 574,NIKE,110.0,https://www.murallasport.com/producto/6461-new-balance-574,Empeine de ante/malla Entresuela ENCAP Suela de goma
10,Zapatilla Mujer New Balance 237 Beige,NEW BALANCE,99.95,https://www.murallasport.com/producto/6259-zapatilla-mujer-new-balance-237-beige,Zapatillas bajas de mujer de color Beige de la marca New Balance. El material usado en su fabricación es textil. El tacón de este par de zapatillas es plano.
